[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000206s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000336s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.000966s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.000119s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_template ] --START--
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000145s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000251s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006349s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006464s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run ContentReplace Behavior [ RunTime:0.000234s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run TokenBuild Behavior [ RunTime:0.000371s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000088s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000286s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001252s ]
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Tag[ view_end ] --START--
[ 2012-03-08T14:54:08+08:00 ] /Examples/Form/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000118s ]
