[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000211s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000335s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --START--
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000105s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000207s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run ParseTemplate Behavior [ RunTime:0.003010s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003122s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run ContentReplace Behavior [ RunTime:0.000178s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run TokenBuild Behavior [ RunTime:0.000209s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000080s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000301s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001037s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_end ] --START--
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000112s ]
[ 2012-03-07T21:43:31+08:00 ] /Examples/Hello/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000210s ]
